Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLY00 (Cash)",76.93,-3.33,76.93,76.93,76.93,80.26,N/A,N/A,2023-01-03
"CLG23 (Feb '23)",73.35,-3.58,77.25,77.42,72.89,76.93,236405,238487,"10:33 CT"
"CLH23 (Mar '23)",73.62,-3.5,77.41,77.62,73.2,77.12,93657,182448,"10:33 CT"
"CLJ23 (Apr '23)",73.87,-3.4,77.45,77.72,73.47,77.27,52290,77466,"10:33 CT"
"CLK23 (May '23)",74.09,-3.24,77.6,77.73,73.7,77.33,30883,54471,"10:32 CT"
"CLM23 (Jun '23)",74.16,-3.07,77.25,77.76,73.75,77.23,49471,153315,"10:32 CT"
"CLN23 (Jul '23)",73.86,-3.13,77.27,77.45,73.74,76.99,13201,49953,"10:30 CT"
"CLQ23 (Aug '23)",73.59,-3.05,76.64,76.71,73.59,76.64,6519,35866,"10:26 CT"
"CLU23 (Sep '23)",73.54,-2.7,76.61,76.61,73.23,76.24,9826,60513,"10:32 CT"
"CLV23 (Oct '23)",73.25,-2.56,76.18,76.18,73.06,75.81,3633,36592,"10:32 CT"
"CLX23 (Nov '23)",72.94,-2.45,75.77,75.77,72.87,75.39,1310,27081,"10:32 CT"
"CLZ23 (Dec '23)",72.59,-2.38,75.11,75.51,72.33,74.97,27853,180770,"10:32 CT"
"CLF24 (Jan '24)",72.05,-2.48,74.42,74.42,72.05,74.53,701,35352,"10:29 CT"
"CLG24 (Feb '24)",71.94,-2.16,71.72,72.1,71.72,74.1,240,18859,"10:32 CT"
"CLH24 (Mar '24)",73.67,-2.17,76.05,76.3,73.59,75.84,1336,20471,2023-01-03
"CLJ24 (Apr '24)",73.28,-2.11,0,73.28,73.28,75.39,76,13569,2023-01-03
"CLK24 (May '24)",72.92,-2.07,0,72.92,72.92,74.99,149,10210,2023-01-03
"CLM24 (Jun '24)",70.78,-1.78,73.04,73.04,70.51,72.56,5613,53678,"10:32 CT"
"CLN24 (Jul '24)",72.17,-1.99,0,72.17,72.17,74.16,462,9665,2023-01-03
"CLQ24 (Aug '24)",71.8,-1.95,0,71.8,71.8,73.75,531,7756,2023-01-03
"CLU24 (Sep '24)",71.45,-1.9,0,73.7,71.45,73.35,325,23163,2023-01-03
"CLV24 (Oct '24)",71.13,-1.85,0,71.13,71.13,72.98,12,7727,2023-01-03
"CLX24 (Nov '24)",70.84,-1.8,0,70.84,70.84,72.64,8,5573,2023-01-03
"CLZ24 (Dec '24)",69.1,-1.45,70.89,70.98,68.9,70.55,7486,71301,"10:32 CT"
"CLF25 (Jan '25)",70.2,-1.72,70.36,70.36,70.2,71.92,13,4630,2023-01-03
"CLG25 (Feb '25)",69.85,-1.7,0,69.85,69.85,71.55,3,2726,2023-01-03
"CLH25 (Mar '25)",69.53,-1.66,0,69.53,69.53,71.19,3,5386,2023-01-03
"CLJ25 (Apr '25)",69.24,-1.63,0,69.24,69.24,70.87,0,698,2023-01-03
"CLK25 (May '25)",68.97,-1.6,0,68.97,68.97,70.57,0,261,2023-01-03
"CLM25 (Jun '25)",68.74,-1.55,70.3,70.5,68.74,70.29,570,12079,2023-01-03
"CLN25 (Jul '25)",68.46,-1.5,0,68.46,68.46,69.96,0,257,2023-01-03
"CLQ25 (Aug '25)",68.17,-1.49,68.17,68.17,68.17,69.66,N/A,330,2023-01-03
"CLU25 (Sep '25)",67.89,-1.48,0,67.89,67.89,69.37,152,3639,2023-01-03
"CLV25 (Oct '25)",67.64,-1.46,67.64,67.64,67.64,69.1,N/A,386,2023-01-03
"CLX25 (Nov '25)",67.42,-1.44,67.42,67.42,67.42,68.86,N/A,489,2023-01-03
"CLZ25 (Dec '25)",66.12,-1.09,67.27,67.27,66.12,67.21,1336,26508,"10:29 CT"
"CLF26 (Jan '26)",66.92,-1.4,66.92,66.92,66.92,68.32,N/A,479,2023-01-03
"CLG26 (Feb '26)",66.64,-1.38,66.64,66.64,66.64,68.02,N/A,126,2023-01-03
"CLH26 (Mar '26)",66.38,-1.36,66.38,66.38,66.38,67.74,N/A,326,2023-01-03
"CLJ26 (Apr '26)",66.13,-1.34,66.13,66.13,66.13,67.47,N/A,26,2023-01-03
"CLK26 (May '26)",65.9,-1.32,65.9,65.9,65.9,67.22,N/A,26,2023-01-03
